District, Size, Democrats, Republicans, Lean
1, 2000, 1075, 925, D +7.5,
2, 2000, 1103, 897, D +10.3,
3, 2000, 1092, 908, D +9.2,
4, 2000, 1075, 925, D +7.5,
5, 2000, 1099, 901, D +9.9,
6, 2000, 1054, 946, D +5.4,
7, 2000, 1072, 928, D +7.2,
8, 2000, 1057, 943, D +5.7,
9, 2000, 1088, 912, D +8.8,
10, 2000, 1087, 913, D +8.7,
11, 2000, 1022, 978, D +2.2,
12, 2000, 1076, 924, D +7.6,
13, 2000, 1099, 901, D +9.9,
14, 2000, 1091, 909, D +9.1,
15, 2000, 1100, 900, D +10,
16, 2000, 1108, 892, D +10.8,
17, 2000, 1059, 941, D +5.9,
18, 2000, 1061, 939, D +6.1,
19, 2000, 1131, 869, D +13.1,
20, 2000, 1069, 931, D +6.9,
