District, Size, Democrats, Republicans, Lean
1, 2000, 1107, 893, D +10.7,
2, 2000, 1098, 902, D +9.8,
3, 2000, 1015, 985, D +1.5,
4, 2000, 1055, 945, D +5.5,
5, 2000, 1263, 737, D +26.3,
6, 2000, 1115, 885, D +11.5,
7, 2000, 1204, 796, D +20.4,
8, 2000, 1295, 705, D +29.5,
9, 2000, 1154, 846, D +15.4,
10, 2000, 992, 1008, R +0.8,
11, 2000, 1011, 989, D +1.1,
12, 2000, 1022, 978, D +2.2,
13, 2000, 1268, 732, D +26.8,
14, 2000, 1123, 877, D +12.3,
15, 2000, 1009, 991, D +0.9,
16, 2000, 1031, 969, D +3.1,
17, 2000, 1003, 997, D +0.3,
18, 2000, 1120, 880, D +12,
19, 2000, 1048, 952, D +4.8,
20, 2000, 903, 1097, R +9.7,
