District, Size, Democrats, Republicans, Lean
1, 2500, 1404, 1096, D +12.32
2, 2500, 1418, 1082, D +13.44
3, 2500, 1345, 1155, D +7.6
4, 2500, 1366, 1134, D +9.28
5, 2500, 1345, 1155, D +7.6
6, 2500, 1352, 1148, D +8.16
7, 2500, 1401, 1099, D +12.08
8, 2500, 1356, 1144, D +8.48
9, 2500, 1361, 1139, D +8.88
10, 2500, 1349, 1151, D +7.92
11, 2500, 1383, 1117, D +10.64
12, 2500, 1347, 1153, D +7.76
13, 2500, 1354, 1146, D +8.32
14, 2500, 1372, 1128, D +9.76
15, 2500, 1362, 1138, D +8.96
16, 2500, 1377, 1123, D +10.16
17, 2500, 1399, 1101, D +11.92
18, 2500, 1345, 1155, D +7.6
19, 2500, 1339, 1161, D +7.12
20, 2500, 1348, 1152, D +7.84
