District, Size, Democrats, Republicans, Lean
1, 2500, 1344, 1156, D +7.52,
2, 2500, 1388, 1112, D +11.04,
3, 2500, 1340, 1160, D +7.2,
4, 2500, 1397, 1103, D +11.76,
5, 2500, 1343, 1157, D +7.44,
6, 2500, 1391, 1109, D +11.28,
7, 2500, 1361, 1139, D +8.88,
8, 2500, 1384, 1116, D +10.72,
9, 2500, 1372, 1128, D +9.76,
10, 2500, 1353, 1147, D +8.24,
11, 2500, 1367, 1133, D +9.36,
12, 2500, 1380, 1120, D +10.4,
13, 2500, 1364, 1136, D +9.12,
14, 2500, 1354, 1146, D +8.32,
15, 2500, 1380, 1120, D +10.4,
16, 2500, 1362, 1138, D +8.96,
17, 2500, 1362, 1138, D +8.96,
18, 2500, 1369, 1131, D +9.52,
19, 2500, 1395, 1105, D +11.6,
20, 2500, 1364, 1136, D +9.12,
