District, Size, Democrats, Republicans, Lean
1, 2500, 1587, 913, D +26.96
2, 2500, 1342, 1158, D +7.36
3, 2500, 1574, 926, D +25.92
4, 2500, 1410, 1090, D +12.8
5, 2500, 1256, 1244, D +0.48
6, 2500, 1367, 1133, D +9.36
7, 2500, 1419, 1081, D +13.52
8, 2500, 1419, 1081, D +13.52
9, 2500, 1368, 1132, D +9.44
10, 2500, 1351, 1149, D +8.08
11, 2500, 1256, 1244, D +0.48
12, 2500, 1401, 1099, D +12.08
13, 2500, 1542, 958, D +23.36
14, 2500, 1362, 1138, D +8.96
15, 2500, 1219, 1281, R +2.48
16, 2500, 1254, 1246, D +0.32
17, 2500, 1345, 1155, D +7.6
18, 2500, 1324, 1176, D +5.92
19, 2500, 1270, 1230, D +1.6
20, 2500, 1087, 1413, R +13.04
