District, Size, Democrats, Republicans, Lean
1, 2500, 1272, 1228, D +1.76,
2, 2500, 1343, 1157, D +7.44,
3, 2500, 1331, 1169, D +6.48,
4, 2500, 1443, 1057, D +15.44,
5, 2500, 1360, 1140, D +8.8,
6, 2500, 1633, 867, D +30.64,
7, 2500, 1480, 1020, D +18.4,
8, 2500, 1643, 857, D +31.44,
9, 2500, 1379, 1121, D +10.32,
10, 2500, 1621, 879, D +29.68,
11, 2500, 1403, 1097, D +12.24,
12, 2500, 1157, 1343, R +7.44,
13, 2500, 1267, 1233, D +1.36,
14, 2500, 1279, 1221, D +2.32,
15, 2500, 1212, 1288, R +3.04,
16, 2500, 1258, 1242, D +0.64,
17, 2500, 1305, 1195, D +4.4,
18, 2500, 1388, 1112, D +11.04,
19, 2500, 1388, 1112, D +11.04,
20, 2500, 1208, 1292, R +3.36,
