Race, Gender, Age, Education (0 = no college, 1 = bachelors, 2 = graduate), Living, Party
Hispanic, Female, 60, 0, Urban,D
Asian, Male, 25, 2, Urban,D
Asian, Male, 69, 0, Suburban,D
Hispanic, Male, 78, 0, Urban,R
White, Female, 57, 1, Rural,D
Hispanic, Male, 79, 1, Urban,D
Black, Female, 77, 0, Urban,D
Hispanic, Female, 57, 1, Urban,D
Black, Male, 41, 2, Suburban,D
Asian, Male, 32, 0, Urban,R
Hispanic, Male, 65, 1, Rural,R
Black, Male, 21, 0, Suburban,R
White, Female, 28, 2, Urban,D
White, Female, 64, 0, Suburban,R
Hispanic, Male, 20, 0, Suburban,D
White, Male, 70, 2, Suburban,D
Asian, Female, 55, 0, Urban,R
Hispanic, Male, 69, 0, Suburban,D
Hispanic, Male, 80, 1, Urban,D
Black, Male, 76, 0, Rural,D
Hispanic, Female, 58, 0, Rural,R
Black, Male, 29, 1, Rural,D
Asian, Female, 24, 0, Suburban,R
Asian, Male, 22, 0, Suburban,R
White, Female, 29, 2, Rural,D
Asian, Male, 67, 0, Urban,R
Black, Male, 48, 1, Suburban,D
Black, Female, 70, 2, Urban,R
Black, Female, 68, 1, Urban,D
Black, Male, 54, 1, Urban,D
Hispanic, Female, 31, 0, Rural,R
White, Female, 27, 1, Urban,D
Black, Male, 44, 2, Urban,R
White, Male, 52, 2, Urban,D
Black, Female, 78, 0, Urban,D
White, Male, 48, 2, Suburban,D
Hispanic, Female, 24, 2, Urban,R
Hispanic, Female, 18, 1, Rural,D
Asian, Female, 46, 0, Urban,D
Black, Male, 26, 0, Suburban,D
Asian, Female, 61, 0, Rural,D
White, Female, 74, 0, Suburban,R
Asian, Female, 52, 2, Suburban,D
Hispanic, Male, 20, 1, Rural,D
Black, Male, 54, 0, Urban,R
Asian, Female, 42, 0, Suburban,R
Black, Male, 20, 2, Suburban,D
Black, Male, 53, 1, Urban,D
Asian, Female, 22, 0, Rural,R
Asian, Male, 36, 1, Urban,R
Asian, Female, 68, 0, Suburban,D
White, Female, 24, 1, Urban,R
White, Male, 27, 0, Rural,D
Asian, Male, 57, 0, Rural,D
Hispanic, Female, 59, 2, Urban,D
Black, Male, 45, 2, Suburban,D
Black, Female, 60, 0, Urban,D
Black, Male, 37, 1, Urban,D
Asian, Male, 72, 2, Urban,R
Asian, Female, 29, 1, Rural,R
White, Male, 78, 1, Suburban,D
Asian, Male, 71, 1, Rural,D
White, Male, 68, 1, Suburban,D
White, Male, 61, 0, Suburban,D
Asian, Female, 61, 0, Urban,D
White, Female, 57, 2, Urban,D
Black, Male, 58, 1, Suburban,D
White, Male, 52, 2, Suburban,R
White, Male, 58, 2, Rural,D
Asian, Female, 20, 1, Urban,R
Asian, Male, 80, 0, Urban,D
Black, Male, 31, 2, Suburban,D
Asian, Male, 39, 1, Rural,D
White, Male, 27, 1, Rural,R
White, Female, 75, 2, Rural,D
White, Female, 63, 0, Urban,D
Asian, Female, 75, 0, Rural,R
White, Male, 67, 2, Suburban,D
White, Female, 60, 2, Urban,D
White, Male, 36, 0, Suburban,D
Hispanic, Female, 28, 0, Rural,R
Black, Male, 61, 0, Rural,R
Black, Male, 42, 1, Rural,D
Black, Male, 27, 0, Urban,D
Asian, Male, 24, 0, Suburban,D
Hispanic, Female, 38, 1, Rural,D
Black, Female, 46, 2, Suburban,D
White, Female, 40, 1, Urban,D
Hispanic, Male, 58, 0, Suburban,R
Hispanic, Female, 23, 0, Urban,D
Black, Male, 75, 2, Urban,D
Hispanic, Male, 26, 1, Rural,D
Hispanic, Male, 58, 1, Urban,R
Black, Female, 37, 0, Suburban,R
Hispanic, Female, 62, 1, Rural,D
Hispanic, Male, 49, 0, Rural,D
White, Female, 68, 0, Urban,R
Hispanic, Male, 78, 1, Urban,R
Hispanic, Male, 19, 0, Urban,D
Hispanic, Male, 30, 0, Urban,D
Asian, Female, 55, 1, Rural,R
Black, Male, 62, 2, Rural,D
Black, Male, 69, 0, Suburban,R
White, Female, 45, 1, Rural,R
Asian, Female, 21, 2, Suburban,D
White, Female, 29, 0, Urban,D
Asian, Male, 53, 2, Suburban,R
Hispanic, Female, 57, 0, Suburban,D
Black, Female, 73, 1, Suburban,R
Black, Male, 29, 2, Suburban,R
Asian, Female, 44, 1, Suburban,D
Asian, Male, 46, 1, Rural,R
Hispanic, Male, 76, 2, Rural,R
Black, Female, 70, 2, Suburban,D
Hispanic, Female, 52, 2, Rural,D
Asian, Male, 62, 0, Urban,D
Black, Male, 49, 0, Urban,R
Black, Male, 70, 0, Suburban,R
Black, Male, 34, 0, Urban,D
White, Female, 51, 2, Rural,R
Hispanic, Female, 55, 1, Urban,D
Black, Male, 39, 2, Rural,R
Black, Male, 44, 0, Urban,R
Asian, Male, 51, 2, Rural,D
Asian, Female, 69, 0, Urban,D
Black, Male, 19, 2, Rural,D
Black, Female, 28, 0, Suburban,D
Black, Male, 50, 2, Urban,R
Asian, Male, 24, 1, Rural,D
White, Female, 45, 1, Rural,D
Hispanic, Female, 65, 0, Urban,D
Black, Female, 48, 1, Suburban,D
White, Female, 71, 0, Rural,D
Black, Female, 77, 1, Urban,D
Hispanic, Male, 48, 1, Suburban,D
Hispanic, Male, 51, 0, Suburban,D
Asian, Female, 72, 2, Urban,R
White, Male, 53, 0, Urban,D
Black, Male, 50, 2, Rural,R
White, Male, 79, 0, Urban,D
White, Female, 63, 1, Suburban,D
Black, Male, 63, 2, Suburban,R
Hispanic, Female, 73, 2, Rural,D
Black, Female, 27, 2, Rural,R
Hispanic, Female, 60, 1, Suburban,D
Hispanic, Female, 56, 0, Rural,R
Hispanic, Female, 41, 0, Urban,D
Black, Female, 34, 2, Suburban,D
Asian, Female, 78, 1, Urban,R
Black, Male, 33, 1, Rural,D
Asian, Male, 68, 0, Urban,D
White, Male, 19, 2, Rural,R
White, Female, 64, 0, Rural,R
Black, Female, 76, 1, Suburban,D
Black, Female, 72, 1, Rural,R
Asian, Male, 73, 0, Urban,D
Asian, Male, 35, 0, Suburban,R
Asian, Female, 35, 2, Suburban,R
Black, Male, 44, 0, Rural,D
Asian, Male, 69, 0, Rural,D
