District, Size, Democrats, Republicans, Lean
1, 2000, 1077, 923, D +7.7,
2, 2000, 1068, 932, D +6.8,
3, 2000, 1135, 865, D +13.5,
4, 2000, 1124, 876, D +12.4,
5, 2000, 1121, 879, D +12.1,
6, 2000, 1108, 892, D +10.8,
7, 2000, 1036, 964, D +3.6,
8, 2000, 1070, 930, D +7,
9, 2000, 1091, 909, D +9.1,
10, 2000, 1094, 906, D +9.4,
11, 2000, 1113, 887, D +11.3,
12, 2000, 1128, 872, D +12.8,
13, 2000, 1084, 916, D +8.4,
14, 2000, 1047, 953, D +4.7,
15, 2000, 1077, 923, D +7.7,
16, 2000, 1091, 909, D +9.1,
17, 2000, 1108, 892, D +10.8,
18, 2000, 1116, 884, D +11.6,
19, 2000, 1076, 924, D +7.6,
20, 2000, 1072, 928, D +7.2,
