District, Size, Democrats, Republicans, Lean
1, 2000, 1110, 890, D +11,
2, 2000, 1027, 973, D +2.7,
3, 2000, 1135, 865, D +13.5,
4, 2000, 1012, 988, D +1.2,
5, 2000, 1037, 963, D +3.7,
6, 2000, 1070, 930, D +7,
7, 2000, 1119, 881, D +11.9,
8, 2000, 1021, 979, D +2.1,
9, 2000, 982, 1018, R +1.8,
10, 2000, 1166, 834, D +16.6,
11, 2000, 1171, 829, D +17.1,
12, 2000, 1118, 882, D +11.8,
13, 2000, 1320, 680, D +32,
14, 2000, 1039, 961, D +3.9,
15, 2000, 1053, 947, D +5.3,
16, 2000, 1100, 900, D +10,
17, 2000, 989, 1011, R +1.1,
18, 2000, 1147, 853, D +14.7,
19, 2000, 1074, 926, D +7.4,
20, 2000, 1041, 959, D +4.1,
