Race, Gender, Age, Education
Asian, Female, 64, 2
Asian, Male, 38, 1
White, Male, 35, 0
White, Male, 68, 2
Black, Female, 74, 2
Asian, Female, 49, 1
Hispanic, Female, 38, 1
Asian, Male, 27, 2
Black, Female, 49, 2
Asian, Male, 59, 1
Hispanic, Male, 65, 1
Hispanic, Female, 32, 1
Asian, Female, 18, 1
Hispanic, Female, 18, 2
Asian, Female, 80, 0
White, Male, 22, 0
White, Female, 31, 0
Asian, Male, 68, 0
Black, Male, 18, 2
Asian, Male, 23, 2
Asian, Male, 38, 2
Asian, Male, 32, 1
White, Female, 32, 2
Asian, Male, 65, 0
Hispanic, Male, 21, 2
Black, Male, 25, 1
White, Male, 51, 1
Hispanic, Male, 38, 1
Hispanic, Male, 27, 0
White, Male, 60, 1
White, Female, 28, 1
Black, Female, 36, 0
White, Female, 43, 0
Hispanic, Female, 32, 0
Black, Female, 66, 1
White, Female, 23, 2
Asian, Female, 58, 2
Hispanic, Male, 64, 0
Asian, Male, 22, 0
Asian, Male, 23, 1
White, Male, 41, 1
Asian, Male, 57, 2
Asian, Female, 41, 1
Black, Male, 54, 2
Hispanic, Male, 33, 0
White, Male, 34, 0
Hispanic, Female, 27, 0
White, Male, 73, 0
Black, Female, 32, 2
White, Male, 74, 1
Hispanic, Male, 69, 2
White, Male, 54, 1
Hispanic, Male, 66, 2
Hispanic, Female, 78, 2
Black, Female, 70, 1
Asian, Female, 23, 2
Hispanic, Female, 40, 0
Asian, Male, 38, 1
Asian, Male, 78, 0
Hispanic, Male, 27, 2
Black, Female, 59, 0
Asian, Female, 67, 1
White, Male, 26, 1
Asian, Female, 61, 0
Asian, Female, 18, 0
Hispanic, Male, 29, 0
Asian, Female, 41, 0
Asian, Female, 28, 2
Black, Female, 78, 2
Asian, Female, 27, 0
Asian, Male, 31, 2
Hispanic, Male, 54, 1
Asian, Male, 60, 0
White, Female, 43, 1
White, Male, 39, 0
Asian, Female, 38, 0
White, Male, 74, 1
Black, Male, 67, 0
Hispanic, Female, 74, 0
White, Female, 71, 1
White, Male, 70, 0
Black, Male, 54, 2
Black, Male, 49, 0
Asian, Female, 43, 0
Asian, Male, 23, 1
Black, Male, 58, 0
Asian, Female, 79, 1
Hispanic, Male, 48, 1
Asian, Male, 50, 2
Asian, Female, 59, 1
Black, Female, 66, 0
Asian, Male, 24, 1
Hispanic, Male, 24, 2
Hispanic, Female, 44, 2
Asian, Female, 45, 1
Hispanic, Male, 35, 1
Asian, Female, 37, 2
White, Female, 38, 1
Hispanic, Male, 65, 0
Hispanic, Male, 62, 1
